,date,notes,name
515,2011-03-04,strained right adductor muscle (DNP),semiherden
516,2011-03-04,patellar tendinitis in left knee (DNP),glendavis
517,2011-03-04,strained abductor muscle (DNP),trevorariza
519,2011-03-04,gastroenteritis / food poisoning (DNP),wesleyjohnsonwesjohnson
520,2011-03-05,strained left hamstring (DNP),stephenjackson
521,2011-03-05,surgery on left knee to repair torn patella tendon (out for season),hassanwhiteside
522,2011-03-05,sore back (DNP),omricasspi
524,2011-03-06,concussion (DNP),ersanilyasova
525,2011-03-06,strained patellar tendon in left knee (DNP),glendavis
526,2011-03-06,sprained right calf (DNP),vonwafer
527,2011-03-06,strained groin (DNP),trevorariza
528,2011-03-06,right knee tendinitis (DNP),rashardlewis
529,2011-03-07,concussion (DNP),chrispaul
530,2011-03-07,strained groin (DNP),trevorariza
531,2011-03-07,sprained left ankle (DNP),franciscoelson
532,2011-03-07,back spasms (DNP),kyrylofesenko
534,2011-03-07,dislocated right shoulder (out indefinitely),channingfrye
535,2011-03-08,concussion (DNP),ersanilyasova
536,2011-03-08,right hip pointer (DNP),lukeharangody
537,2011-03-08,patella tendinitis in right knee (DNP),cartiermartin
538,2011-03-09,sore right knee (DNP),joelprzybilla
539,2011-03-09,sprained left ankle (DNP),mattcarroll
540,2011-03-09,concussion (DNP),ersanilyasova
541,2011-03-09,strained patellar tendon in left knee (DNP),glendavis
542,2011-03-09,strained right calf (DNP),vonwafer
543,2011-03-09,back spasms (DNP),andreikirilenko
544,2011-03-09,patellar tendinitis in left knee (DNP),paulmillsap
546,2011-03-09,sore right knee (DNP),alexisajincaalexajinca
547,2011-03-11,strained patellar tendon in left knee (DNP),glendavis
548,2011-03-11,strained right calf (DNP),vonwafer
549,2011-03-11,patellar tendinitis in left knee (DNP),paulmillsap
551,2011-03-11,lower abdominal strain (DNP),jjredick
552,2011-03-11,sore right knee (DNP),alexisajincaalexajinca
553,2011-03-12,concussion (DNP),ersanilyasova
554,2011-03-12,patellar tendinitis in left knee (DNP),paulmillsap
556,2011-03-12,patella tendinitis in right knee (DNP),cartiermartin
557,2011-03-13,strained right calf (DNP),vonwafer
559,2011-03-13,pubic symphysis (DNP),stevenash
560,2011-03-14,strained right calf (DNP),vonwafer
561,2011-03-14,sprained left foot (DNP),gordonhayward
562,2011-03-14,patellar tendinitis in left knee (DNP),paulmillsap
563,2011-03-14,lower abdomen stress (DNP),terrencewilliams
564,2011-03-14,pubic symphysis (DNP),stevenash
565,2011-03-14,patella tendinitis in right knee (DNP),cartiermartin
567,2011-03-15,stiff lower back (DNP),brendanhaywood
568,2011-03-15,surgery to relieve lower abdomen stress (out indefinteily),terrencewilliams
569,2011-03-15,patella tendinitis in right knee (DNP),cartiermartin
570,2011-03-15,left knee tendinitis (DNP),joshhoward
571,2011-03-15,bruised left knee (DNP),nickyoung
572,2011-03-16,migraine headache (DNP),andrewbogut
573,2011-03-16,patellar tendinitis in left knee (DNP),paulmillsap
574,2011-03-16,lower abdominal strain (DNP),jjredick
575,2011-03-16,stiff lower back (DNP),brendanhaywood
576,2011-03-16,lower abdomen stress (DNP),terrencewilliams
577,2011-03-18,sprained right ankle (DNP),chrisdouglasroberts
578,2011-03-18,sore right calf (DNP),lutherhead
579,2011-03-18,sore left knee (DNP),gilbertarenas
580,2011-03-18,lower abdominal strain (DNP),jjredick
581,2011-03-18,strained right shoulder (DNP),andrayblatche
582,2011-03-18,bruised left knee (DNP),nickyoung
583,2011-03-19,right knee inflammation (DTD),armonjohnson
584,2011-03-19,sprained left ankle (DNP),garretttemple
585,2011-03-19,back spasms (DNP),barondavis
586,2011-03-19,right Achilles tendon injury (DTD),alharrington
587,2011-03-20,bruised left knee (DNP),nickyoung
588,2011-03-21,back spasms (DNP),barondavis
589,2011-03-21,sprained right knee (out indefinitely),mariochalmers
590,2011-03-21,lower abdominal strain (DNP),jjredick
591,2011-03-21,sore right foot (DNP),damionjames
592,2011-03-21,sprained left ankle (out indefinitely),timduncan
593,2011-03-22,sprained right ankle (DNP),marcuscamby
595,2011-03-22,bruised left knee (DNP),nickyoung
596,2011-03-23,back spasms (DNP),barondavis
597,2011-03-23,sprained right knee (DNP),mariochalmers
598,2011-03-23,bruised left knee (DTD),andreikirilenko
599,2011-03-23,sprained left ankle (DNP),derrickfavors
600,2011-03-23,lower abdominal strain (DNP),jjredick
601,2011-03-23,sore right foot (DNP),damionjames
602,2011-03-23,left knee injury (DTD),benwallace
603,2011-03-23,sprained left ankle (DTD),chasebudinger
604,2011-03-23,strained left groin (DTD),kevinlove
605,2011-03-23,bruised left knee (DNP),nickyoung
606,2011-03-24,nerve damage in left knee (DNP),andreikirilenko
607,2011-03-25,bruised ribs (DNP),tyrusthomas
608,2011-03-25,sprained right ankle (DNP),troymurphy
609,2011-03-25,surgery to repair partially dislocated left shoulder (out for season),rudygay
610,2011-03-25,sprained right knee (DNP),mariochalmers
611,2011-03-25,lower abdominal strain (DNP),jjredick
612,2011-03-25,back spasms (DNP),quentinrichardson
613,2011-03-25,sore left ankle (DNP),amirjohnson
614,2011-03-25,sore right foot (DNP),reggieevans
615,2011-03-26,bruised ribs (DNP),tyrusthomas
616,2011-03-26,nerve damage in left knee (DNP),andreikirilenko
617,2011-03-26,sore right foot (DNP),damionjames
618,2011-03-26,sore back (DNP),tracymcgrady
619,2011-03-26,sore right ankle (DNP),andreabargnani
620,2011-03-27,right finger injury (DNP),rajonrondo
621,2011-03-27,sprained right ankle (DNP),troymurphy
622,2011-03-27,hip injury (DNP),nikolapekovic
623,2011-03-27,sore right foot (DNP),trevorbooker
625,2011-03-28,sprained right ankle (DNP),troymurphy
626,2011-03-28,nerve damage in left knee (DNP),andreikirilenko
627,2011-03-28,migraine headache (DNP),kyrylofesenko
628,2011-03-28,lower abdominal strain (DNP),jjredick
629,2011-03-28,sprained left knee (DNP),jameernelson
630,2011-03-28,bruised left patella (DNP),tonyparker
631,2011-03-28,bruised lower back (DNP),antoniomcdyess
632,2011-03-28,bruised left knee (DNP),nickyoung
633,2011-03-28,sore right foot (DNP),trevorbooker
634,2011-03-29,wrist injury (DTD),samardosamuels
635,2011-03-29,bruised left knee (DNP),mikemiller
636,2011-03-29,sore right foot (DNP),damionjames
637,2011-03-29,sprained left ankle (DNP),nickcollison
638,2011-03-30,sore left knee (DNP),tyrusthomas
639,2011-03-30,back spasms (DNP),larrysanders
640,2011-03-30,sprained right wrist (DNP),samardosamuels
641,2011-03-30,bruised left knee (DNP),mikemiller
642,2011-03-30,surgery on back (out for season),marquisdaniels
643,2011-03-30,sprained right thumb (DNP),chrisduhon
644,2011-03-30,lower abdominal strain (DNP),jjredick
645,2011-03-30,sore left knee (DNP),benuzoh
646,2011-03-30,bruised left knee (DNP),nickyoung
647,2011-03-31,surgery on knee to remove wires that were inserted to help heal torn patella tendon (out for season) (date approximate),joelprzybilla
649,2011-04-01,strained left hamstring (DNP),stephenjackson
650,2011-04-01,sore left knee (DNP),tyrusthomas
651,2011-04-01,sprained right wrist (DNP),samardosamuels
652,2011-04-01,sprained/bruised right foot (DNP),rajabell
653,2011-04-01,bruised left shin (DNP),ronnieprice
654,2011-04-01,sprained right thumb (DNP),chrisduhon
656,2011-04-01,lower abdominal strain (DNP),jjredick
657,2011-04-01,flu-like symptoms (DNP),stevenash
658,2011-04-01,bruised left knee (DNP),nickyoung
659,2011-04-02,bruised right chest/ribs (DNP),carlosdelfino
660,2011-04-02,sore knee (DNP),ryangomes
661,2011-04-02,sore right ankle (DNP),andreabargnani
662,2011-04-02,sprained left ankle (DNP),darkomilicic
663,2011-04-02,strained left groin (DNP),kevinlove
664,2011-04-03,lower back spasms (DNP),eduardonajera
665,2011-04-03,strained left hamstring (DNP),stephenjackson
666,2011-04-03,sore left knee (DNP),tyrusthomas
667,2011-04-03,sprained/bruised right foot (DNP),rajabell
668,2011-04-03,bruised left shin (DNP),ronnieprice
669,2011-04-03,sprained right thumb (DNP),chrisduhon
671,2011-04-03,lower abdominal strain (DNP),jjredick
672,2011-04-03,hamstring injury (DTD),arronafflalo
674,2011-04-03,strained left patella tendon (DNP),hamadyndiayehamadyndiaye
675,2011-04-03,bruised left knee (DNP),nickyoung
676,2011-04-05,lower back spasms (DNP),eduardonajera
677,2011-04-05,strained left hamstring (DNP),stephenjackson
678,2011-04-05,sore left knee (DNP),tyrusthomas
679,2011-04-05,strained left groin (DNP),samardosamuels
680,2011-04-05,fractured right thumb (DNP),kyrylofesenko
681,2011-04-05,sprained/bruised right foot (DNP),rajabell
682,2011-04-05,bruised left shin (DNP),ronnieprice
683,2011-04-05,lower abdominal strain (DNP),jjredick
684,2011-04-05,left knee tendinitis (DTD),anthonymorrow
685,2011-04-05,strained left groin (DNP),kevinlove
686,2011-04-05,stress fracture in left foot (DTD),cartiermartin
687,2011-04-05,strained left patella tendon (DNP),hamadyndiayehamadyndiaye
688,2011-04-05,bruised left knee (DNP),nickyoung
689,2011-04-06,lower back spasms (DNP),eduardonajera
690,2011-04-06,strained left hamstring (DNP),stephenjackson
691,2011-04-06,sore left knee (DNP),tyrusthomas
692,2011-04-06,lower abdominal strain (DNP),jjredick
693,2011-04-06,left knee tendinitis (DNP),jasonrichardson
695,2011-04-06,left knee tendinitis (DNP),anthonymorrow
696,2011-04-06,sore right foot (DNP),damionjames
697,2011-04-06,sprained left knee and ankle (DNP),timofeymozgov
698,2011-04-06,sore left ankle (DNP),amirjohnson
699,2011-04-06,strained left patella tendon (DNP),hamadyndiayehamadyndiaye
700,2011-04-06,bruised left knee (DNP),nickyoung
701,2011-04-07,strained/sore neck (DNP),marcuscamby
702,2011-04-07,fractured right thumb (DNP),kyrylofesenko
703,2011-04-07,strained left calf (DNP),ronnieprice
704,2011-04-07,surgery on right wrist to remove bone spur (out for season),acielaw
705,2011-04-08,strained/sore neck (DNP),marcuscamby
706,2011-04-08,lower back spasms (DNP),eduardonajera
707,2011-04-08,strained left hamstring (DNP),stephenjackson
708,2011-04-08,sore left knee (DNP),tyrusthomas
709,2011-04-08,strained left groin (DNP),samardosamuels
710,2011-04-08,sprained right knee (DNP),chriskaman
711,2011-04-08,surgery on knee (date approximate),andyrautins
712,2011-04-08,left knee tendinitis (DNP),anthonymorrow
713,2011-04-08,sprained left knee and ankle (DNP),timofeymozgov
714,2011-04-08,strained right knee (DNP),willbynum
715,2011-04-08,sore/strained left hamstring (DNP),josecalderon
716,2011-04-08,strained right hamstring (DNP),stevenash
717,2011-04-08,strained patella tendon nin left knee (DNP),hamadyndiayehamadyndiaye
718,2011-04-08,bruised left knee (DNP),nickyoung
719,2011-04-09,separated left shoulder (DNP),jonbrockman
720,2011-04-09,sprained right knee (DNP),chriskaman
721,2011-04-09,fractured right thumb (DNP),kyrylofesenko
722,2011-04-09,strained left calf (DNP),ronnieprice
723,2011-04-09,sprained left knee and ankle (DNP),timofeymozgov
724,2011-04-09,sore left ankle (DNP),wilsonchandler
725,2011-04-09,sore left foot / knee (CBC) (DNP),kylelowry
726,2011-04-09,sore left knee (DNP),luisscola
727,2011-04-09,sprained left ankle (DNP),darkomilicic
728,2011-04-09,strained patella tendon nin left knee (DNP),hamadyndiayehamadyndiaye
729,2011-04-09,bruised left knee (DNP),nickyoung
730,2011-04-10,lower back spasms (DNP),eduardonajera
731,2011-04-10,strained left hamstring (DNP),stephenjackson
732,2011-04-10,sore left knee (DNP),tyrusthomas
733,2011-04-10,lower abdominal strain (DNP),jjredick
734,2011-04-10,left knee tendinitis (DNP),anthonymorrow
735,2011-04-10,sore right foot (DNP),damionjames
736,2011-04-10,ill (DNP),dajuansummers
737,2011-04-10,strained right knee (DNP),willbynum
738,2011-04-10,sore left ankle (DNP),amirjohnson
739,2011-04-10,sore/strained left hamstring (DNP),josecalderon
740,2011-04-10,sore right knee (DTD),sonnyweems
741,2011-04-11,lower back spasms (DNP),eduardonajera
742,2011-04-11,strained left hamstring (DNP),stephenjackson
743,2011-04-11,sore left knee (DNP),tyrusthomas
744,2011-04-11,back spasms (DNP),anthonyparker
747,2011-04-11,fractured right thumb (DNP),kyrylofesenko
748,2011-04-11,strained left calf (DNP),ronnieprice
749,2011-04-11,sprained left ankle (DNP),tyrekeevans
750,2011-04-11,sore left knee (DNP),gilbertarenas
751,2011-04-11,lower abdominal strain (DNP),jjredick
752,2011-04-11,left knee tendinitis (DNP),anthonymorrow
753,2011-04-11,sore right foot (DNP),damionjames
754,2011-04-11,surgery on right wrist to remove bone fragments and scar tissue (out for season),deronwilliams
755,2011-04-11,separated left shoulder (DNP),mariowest
756,2011-04-11,right Achilles tendon injury / rest (DNP),alharrington
757,2011-04-11,sprained right ankle (DNP),danilogallinari
759,2011-04-11,strained right knee (DNP),willbynum
760,2011-04-11,sore left ankle (DNP),amirjohnson
761,2011-04-11,sore left index finger (DNP),reggieevans
762,2011-04-11,sore right knee (DNP),sonnyweems
763,2011-04-11,sore left foot (DNP),kylelowry
764,2011-04-11,sore left knee (DNP),luisscola
765,2011-04-11,bruised left hip / knee injury (DNP),vincecarter
766,2011-04-11,sprained left ankle (DNP),darkomilicic
767,2011-04-11,concussion (DNP),montaellis
768,2011-04-11,strained patella tendon nin left knee (DNP),hamadyndiayehamadyndiaye
769,2011-04-11,bruised left knee (DNP),nickyoung
770,2011-04-12,arthroscopic surgery on right elbow to remove loose particles and scar tissue (out for season),andrewbogut
772,2011-04-12,left elbow injury / rest (DNP),zachrandolph
773,2011-04-12,surgery on left knee to repair torn ACL (out for season),davidwest
774,2011-04-12,hyperextended right knee (left game),andrewbynum
775,2011-04-12,sore right knee (DNP),mattbarnes
776,2011-04-12,chicken pox (DNP),steveblake
783,2011-04-13,lower back spasms (DNP),eduardonajera
784,2011-04-13,strained left hamstring (DNP),stephenjackson
785,2011-04-13,sore left knee (DNP),tyrusthomas
786,2011-04-13,sprained left thumb (DNP),ronniebrewer
787,2011-04-13,back spasms (DNP),barondavis
788,2011-04-13,sore right heel (DNP),semiherden
789,2011-04-13,sprained right ankle (DNP),delontewest
794,2011-04-13,knee injury / rest (DNP),tonyallen
799,2011-04-13,thumb injury (DTD),mikemiller
800,2011-04-13,partial muscle tear / left knee injury (CBC) (DNP),cjmiles
801,2011-04-13,fractured right thumb (DNP),kyrylofesenko
802,2011-04-13,strained left calf (DNP),ronnieprice
804,2011-04-13,sore left knee / rest (DNP),gilbertarenas
805,2011-04-13,lower abdominal strain (DNP),jjredick
806,2011-04-13,left knee tendinitis (DNP),anthonymorrow
807,2011-04-13,sore right foot (DNP),damionjames
808,2011-04-13,left shoulder injury (DNP),mariowest
809,2011-04-13,hamstring injury / rest (DNP),arronafflalo
810,2011-04-13,sprained right ankle (DNP),danilogallinari
814,2011-04-13,strained right knee (DNP),willbynum
815,2011-04-13,sore left ankle (DNP),amirjohnson
816,2011-04-13,sore/strained left hamstring (DNP),josecalderon
817,2011-04-13,sore left index finger (DNP),reggieevans
818,2011-04-13,sore right knee (DNP),sonnyweems
819,2011-04-13,sore left foot / knee (CBC) (DNP),kylelowry
820,2011-04-13,sore left knee (DNP),luisscola
821,2011-04-13,sprained left ankle (DNP),darkomilicic
822,2011-04-13,concussion (DNP),montaellis
823,2011-04-13,bruised left knee (DNP),nickyoung
824,2011-04-16,surgery to repair hernia (out indefinitely),ramonsessions
825,2011-04-16,surgery on right wrist (out indefinitely),samardosamuels
826,2011-04-16,surgery to repair separated left shoulder (out indefinitely),semiherden
827,2011-04-18,arthroscopic surgery on left knee (out indefinitely),luisscola
828,2011-04-22,sprained left ankle (DNP),chrisduhon
829,2011-05-04,surgery on right shoulder to repair torn labrum (out indefinitely),toneydouglas
830,2011-05-04,surgery on upper right arm to remove bone mass and calcium deposit (out indefinitely),brooklopez
831,2011-05-10,surgery on left hip to repair torn labrum (out indefinitely),geraldhenderson(b)
832,2011-05-25,stress fracture in left fibula (out for season),omerasik
833,2011-05-25,surgery on right ankle (out indefinitely),stephencurry
834,2011-06-03,surgery on left ankle (out indefinitely),amirjohnson
835,2011-06-08,surgery on back to repair bulging disc (out indefinitely),marvinwilliams
836,2011-06-15,fractured right big toe (out for season),jasonthompson
837,2011-06-27,surgery on left foot (out indefinitely),rodriguebeaubois
838,2011-09-28,surgery on back (out indefinitely),martellwebster
839,2011-10-07,surgery on right knee to repair torn lateral meniscus (out indefinitely),ericbledsoe
840,2011-12-01,surgery to repair hernia (out indefinitely) (date approximate),mikemiller
841,2011-12-09,underwent procedure on heart for Wolff-Parkinson-White Syndrome (irregular heartbeat) (DTD),lamarcusaldridge
842,2011-12-12,appendectomy (out indefinitely),garyneal
843,2011-12-14,surgery on left knee to repair torn menuscus (out indefinitely),derrickcaracter
844,2011-12-16,surgery on left knee to repair torn cartilage (out indefinitely),eduardonajera
845,2011-12-16,torn meniscus in left knee (out indefinitely),reggiewilliams
846,2011-12-17,surgery on heart to repair aortic aneurysm (out for season),jeffgreen
